"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.7199779372004902","0.988817572593689","125.35274331086602","143.5668405178374","0.988246500492096","142.06865298202615","140.64578976251383","0.9838560223579407","117.66459546058007","137.05501050020743","0.8152272701263428","152.60247523488562","150.02441946384127","0.8046281337738037","102.0944552951389","145.92907930897402","0.9872525334358215","178.4463879953023","199.09822447110068","0.9895596504211426","79.62976792279412","202.22069124204924","0.9517191052436829","235.1672443065768","273.68278570934734","0.9276224970817566","-0.5782582401450164","240.67139752143254","0.801988422870636","210.13362311070262","243.7421410484652","0.8249372839927673","54.18888266569649","231.9867375466676","0.8660846948623657","168.70562385110296","325.72353126728433","0.8955262899398804","81.08310674530229","320.2698077986726","0.10995759814977646","211.63652407577615","270.756565870437","0.1825239062309265","-5.720581353879442","318.79248695035955","0.049596868455410004","71.79905311734069","327.47709831305315","0.0720805823802948","75.87024165134804","328.74454464532636"
"1","0.7195591332719606","0.9885311126708984","129.73689459507762","148.75481799640488","0.9883028864860535","142.54102519914215","140.46795060149338","0.98377925157547","117.65743878931782","137.27485049087392","0.8188520669937134","153.05777356515523","149.9795667260094","0.8001580238342285","102.50416475183825","145.28190680309737","0.9876219630241394","178.26708026960785","199.68002994503598","0.9898590445518494","78.87089748008579","202.5661286210592","0.9467298984527588","236.1459769454657","274.74787619261616","0.930342972278595","-0.6024907928666259","239.22392448492812","0.8195552825927734","210.28647429023695","246.75252458690545","0.8225857615470886","32.84828535092423","235.1287463702987","0.8638030886650085","167.21312678717322","327.0172605261339","0.8922433853149414","79.9124205346201","321.55138403968476","0.12316145747900009","211.06071920955884","270.29188308040654","0.15479826927185059","57.07194808261847","337.1847993293695","0.0503835566341877","216.15540747549022","262.8556459139934","0.07179724425077438","76.2972962622549","328.68666387237283"
"2","0.7207172151435824","0.9887741804122925","129.05984317555146","148.394651159776","0.9896934628486633","141.30050359987746","140.3991159084624","0.9846624135971069","117.24436242595998","136.17801632501383","0.8281214833259583","153.18365757761438","148.99935291931695","0.8074859380722046","102.21472247753269","145.1117807573977","0.98799729347229","179.2880508323121","198.85971744503598","0.9892772436141968","80.21169226154004","202.70491608476217","0.9429667592048645","236.80865119485296","274.71436627143254","0.9414458274841309","1.7183211582158906","236.80949253318587","0.8013858795166016","200.71514054840688","232.76621590673398","0.826846718788147","62.24554722605188","229.12987092954924","0.8528969287872314","167.03024471507354","326.7357318169248","0.8854525089263916","80.20991306678923","320.9293439746958","0.13605085015296936","210.5664541207108","269.74246945001386","0.159110426902771","-6.402469709807751","321.3873993189989","0.05658465996384621","215.5399018331291","262.0948832013966","0.0734400823712349","75.55511674070671","327.64584701673124"
"3","0.7204147546606905","0.9895671606063843","129.10564746732027","148.0824158254978","0.9901440143585205","141.73955780228758","140.63054177613387","0.9821641445159912","117.77975643382354","135.48074907961146","0.8294551372528076","153.6938955269608","149.2702841969718","0.8000059723854065","101.63580601511438","145.04630029728983","0.9877355694770813","179.35872395833334","198.80705436774062","0.9885597825050354","79.8294526143791","194.32529685771573","0.9405865669250488","237.03123404309642","275.0205250967921","0.9366597533226013","1.5430006638071896","236.69175409637722","0.7957654595375061","200.88035832822715","232.7214765970686","0.8270547986030579","58.726124482996326","230.34748988868918","0.8502245545387268","168.51635901756538","326.2955981229259","0.887734055519104","80.17668281505311","320.70592289477327","0.12666450440883636","210.86634816687092","270.8958070468059","0.17704744637012482","55.188714320363566","336.58709770810293","0.05411660671234131","72.90822546466504","325.77774993086285","0.08356530219316483","75.45675838694854","327.27808049294805"
"4","0.7239500404719044","0.9890431761741638","128.50854013480392","148.23376140763276","0.9904457926750183","141.28989225898692","140.59126322248343","0.9822908043861389","117.39404616013073","136.38806908531527","0.834021806716919","153.89725030637257","149.27571254493918","0.7925497889518738","102.27889316533906","145.20244227046462","0.988084614276886","179.4690021190768","199.2124952468197","0.9887112379074097","81.21335497089461","202.6351415583518","0.9378697276115417","236.09703712214053","274.6076141627489","0.9353688955307007","2.8776570239098245","236.83321522400445","0.8127387166023254","198.75684551164215","239.30833124481472","0.8533012270927429","31.394886690027576","235.56656288889658","0.8512884378433228","166.92031760620915","325.22178987486177","0.8918752670288086","79.17653601154004","320.6658341399337","0.13536082208156586","210.726948657067","269.77042139103986","0.1800137609243393","55.731739717371326","337.81205709001665","0.057506661862134933","72.35209546058007","325.164524854812","0.08667995035648346","75.05612042994281","326.69214299294805"
"5","0.7215922689613175","0.9883531928062439","128.87439204197304","148.3249738575083","0.9899543523788452","142.26417292177288","140.84594186428376","0.9830050468444824","117.76631274254494","136.34533907459902","0.8270115852355957","153.35205078125","149.6419882985343","0.8022686839103699","102.72468915951798","145.17359910813053","0.987305760383606","179.23931844873368","199.22801870160401","0.9886083602905273","80.66138174019608","194.0589513187915","0.9398364424705505","221.95344413807192","274.38604034153764","0.9384136199951172","1.71282998876634","236.75256779763552","0.7979832887649536","201.48030598958334","232.6645356574945","0.8012112975120544","39.680012222988154","237.87808308559184","0.8569609522819519","167.39659926470588","326.00373124654317","0.8892933130264282","78.34215750102125","319.80400693100114","0.1450657844543457","210.7483628216912","270.2463983856471","0.19421261548995972","54.98844720179739","335.13492550470136","0.055433593690395355","72.23594515931373","324.6312828401549","0.08215068280696869","74.8648051342933","325.57766264518807"
"6","0.7203400853802177","0.9868821501731873","128.85571448631538","148.91058727703265","0.9883763194084167","139.86707899305557","137.26490122027104","0.9823008179664612","117.89542802798204","136.76490986241706","0.8171058297157288","153.51080601511438","150.05057275822733","0.7872239351272583","102.90913500816994","145.90532421010786","0.9862906336784363","178.487588720384","198.8527497148092","0.9888128638267517","81.27908943525327","201.3521393632467","0.9460808038711548","236.01982166564545","274.9699685425885","0.9343016743659973","3.0689902710758785","235.52592319724837","0.7999754548072815","208.98576325061276","244.6796086404176","0.7730942964553833","63.07490330116422","230.90592916032912","0.8617321252822876","166.37995302287584","325.9016458967091","0.8857705593109131","78.17360472834967","319.73125086421464","0.14448964595794678","210.62365962009804","269.9996435114768","0.20505663752555847","53.05508482689951","334.6868518390487","0.06673751026391983","70.90440538194444","325.4374978394635","0.09155019372701645","73.7042356004902","326.23823587873346"
"7","0.7214145395247376","0.9892021417617798","129.54334533292484","148.31931865320797","0.9896093010902405","141.77048228145426","140.19758646467093","0.9817596673965454","117.99758412479576","136.59663107542866","0.8336344957351685","153.61133450776146","149.68095897573286","0.8021758198738098","102.21401239532271","145.08533579058354","0.9890359044075012","179.10783356311276","201.0942685287611","0.9881290793418884","81.40688827614379","202.5045371266593","0.951257586479187","235.8941929636438","273.9826897815266","0.9308826327323914","1.4104626225490198","237.51707363972625","0.8077611327171326","210.87849137050654","244.69414364975114","0.8095389008522034","59.89509133731618","226.40208556588775","0.8459930419921875","169.0390433517157","326.21943921114496","0.8760833144187927","79.59940193525327","320.9488536193308","0.1398722529411316","210.6888595281863","269.3025788163717","0.18254801630973816","-4.330044416041156","319.19460600456307","0.062378767877817154","71.08952939899919","326.7107128042036","0.08418511599302292","74.53569399765115","327.6543379251936"
"8","0.7192798392737613","0.989925742149353","128.61894595077615","147.85781185183907","0.9894728064537048","139.45403454350492","139.93582666447733","0.983238160610199","118.13311408547794","136.74860861449116","0.830670952796936","153.1820459303513","150.61567188364216","0.8020510077476501","103.21920955882354","145.2043867533186","0.9897729754447937","179.9718998927696","199.95635716261063","0.9899271726608276","80.61474768944036","203.36856808282636","0.9564428925514221","236.73976524203434","274.6758006948286","0.9350921511650085","4.942435470281863","240.1323382622373","0.8313673734664917","200.59675628063727","231.2686886407633","0.7522248029708862","50.044088924632355","229.4264531768529","0.8472490906715393","166.26766429227942","327.903782667312","0.9072092175483704","79.15478675194036","322.1043301472622","0.12964610755443573","210.69608800551472","268.1128145741151","0.16557884216308594","-3.0832831688176574","318.9344990147954","0.05720511078834534","215.50653594771242","262.63094471619195","0.07068286091089249","71.41749163858252","327.9725849522954"
"9","0.7179853214937097","0.9907225370407104","126.51821959252452","143.80069698907633","0.9892878532409668","140.83271101409315","140.8151380150719","0.9819827675819397","118.77526775684233","137.6164961283186","0.8042328357696533","163.75502642463238","144.4076024958518","0.7844213247299194","105.9183198018791","146.46917562569138","0.9883171916007996","178.752521190768","201.01277849315545","0.9930083751678467","82.26334316278596","196.16155303685014","0.9667567014694214","238.043843188317","275.64600041482305","0.9369838237762451","13.53928110957925","237.95061229604536","0.8124569058418274","199.69814325469773","228.8554395827572","0.7920550107955933","-10.622231477226308","235.89414343369748","0.8428257703781128","164.486714282067","330.1392897884403","0.884931743144989","78.69057649101308","323.59698000207413","0.13207146525382996","210.92720779718138","268.0214238799779","0.16788478195667267","10.04498251123366","328.49694716191925","0.06784465909004211","53.96739286534927","328.85632000138276","0.06996671855449677","55.07486181321487","330.3698082307799"
"10","0.7214821695404894","0.9916439056396484","126.69731987847223","145.29224497027104","0.9900831580162048","141.4254621119281","140.7876073786643","0.9841747879981995","117.29390861162175","138.30075964463498","0.845156192779541","161.3833678002451","146.48646531906803","0.8401289582252502","101.57121246936275","146.6276833863385","0.9842919111251831","175.27030994689542","199.19770097310567","0.9914305806159973","74.51416015625","198.64624563571627","0.9589793682098389","238.16064772263073","275.3149846169801","0.9014464616775513","3.909724615757762","230.5248753370437","0.8327711224555969","196.80322584763073","256.85685149336285","0.787902295589447","-4.053339241376889","228.0243352029176","0.8196969032287598","161.27098332822715","328.8138978671184","0.8633449077606201","74.27109662224265","320.05993328263276","0.11477958410978317","212.19910066891342","268.26250734582413","0.22681614756584167","-13.070565017999389","317.19389518805315","0.06851266324520111","67.91123334099265","305.9111306519635","0.06403793394565582","63.46262813393587","327.59162835315266"
"11","0.7335031540954814","0.9896454811096191","130.27821659262665","150.197381213703","0.9847059845924377","142.7011527267157","141.09851398299227","0.9840271472930908","116.87463299121733","136.4906729639104","0.8000599145889282","161.78361481311276","145.71607741634404","0.831575334072113","98.9560435176675","146.33766376866706","0.9872140884399414","176.71959571589053","213.27724760612557","0.9844805598258972","79.07149969362746","197.3286316458103","0.9538580179214478","238.50755080678107","275.98489136822457","0.9216932654380798","10.826116823682598","232.04805357266318","0.8961163759231567","196.2386865553513","256.6024483199668","0.8451476097106934","50.886924594056374","191.5387719078402","0.8595507740974426","163.409463720384","328.62735714532636","0.9180147051811218","74.87220913756128","319.07135819966817","0.13008511066436768","-0.8375229555017808","321.5949080475664","0.2566916048526764","-10.424686008029514","320.9415942166759","0.0630156472325325","217.7573529411765","258.6761258555725","0.06367199867963791","48.36627636080474","333.81044100871134"
"12","0.7311003738466431","0.9895256757736206","125.57268529156455","145.0198391264519","0.9869513511657715","138.60543045343138","141.65278882051993","0.9843777418136597","114.95490579044119","135.6840528640072","0.8442643284797668","150.5735070720997","151.50797886131085","0.7914769649505615","102.97249987234478","146.212633521156","0.9871482253074646","174.987282347835","215.20298240459073","0.9795885682106018","77.38232581444036","195.70155320969306","0.9516832232475281","237.89530037275327","276.46582679410955","0.9018663763999939","6.511783973843444","227.42669839774615","0.8681037425994873","207.627032909518","251.78875138274338","0.8642706274986267","63.96154864940768","179.5230831720133","0.8452953696250916","162.3428404564951","324.64771372027104","0.9078801274299622","76.70773175806781","318.51523610342923","0.12461822479963303","210.95683976715688","263.5805167139104","0.23087315261363983","12.127270667381536","325.4160761200221","0.08490907400846481","216.3208326950572","255.47417834796738","0.08587358146905899","53.66858787785948","330.7584455371958"
"13","0.7286483115133118","0.9931536912918091","125.2786713643791","144.60234245367812","0.9869067668914795","143.42516531352126","136.56780411711838","0.986976683139801","115.70231119791667","136.45948021812777","0.8614236116409302","158.28776041666669","148.57168011960732","0.8200840353965759","97.61582318474265","144.26213897435014","0.9838268160820007","175.37433300142976","214.6683468438883","0.9793660044670105","73.66141524969363","198.704709753526","0.9477714896202087","218.96264169730392","271.5282662990874","0.9141553640365601","3.9874746285232847","228.8938917311947","0.8670384883880615","207.99428104575165","253.30342250587668","0.8155353665351868","64.13009344362746","177.6157885526134","0.8317747116088867","162.94639437806373","323.59014190403764","0.8914856314659119","76.16022646037582","318.6927349799503","0.14502815902233124","211.17008782679738","263.0311354915653","0.17330090701580048","17.113515816482845","324.0429147365874","0.09105026721954346","217.3453137765523","255.73749373444417","0.09814330190420151","57.36682767182394","329.70641549709626"
"14","0.7171710050281357","0.9897788166999817","136.62832222732843","150.51590370920908","0.9867087006568909","144.4143975949755","136.3454687067893","0.9900045990943909","117.48524784262663","135.9083975732854","0.7800619602203369","160.74490017361111","146.98658630911228","0.8179481029510498","97.6114350362541","145.79270624481472","0.9851959943771362","176.2363249336193","213.46508464982026","0.9860379695892334","74.07161139195262","195.0818303201051","0.963553249835968","237.33545241013073","274.823970288302","0.9072690010070801","3.3733362933389506","231.3592691337113","0.8158289194107056","197.27344388276146","227.62281569759404","0.7351384162902832","45.96998027726716","188.8135629839602","0.8613855838775635","168.48192401960785","324.4608165099558","0.9024805426597595","81.85901118259804","318.7112723831582","0.10915237665176392","232.70469515931373","267.3134700808905","0.2101508229970932","15.4492975372115","326.39849367394913","0.06490889936685562","67.01790205014298","328.8568385301438","0.08630312979221344","69.97757257199756","328.9451504597622"
"15","0.7088539872099372","0.9917134046554565","127.24303800296161","145.500239819552","0.9913330078125","139.92414088031046","140.56886926161505","0.9866340756416321","116.29629097732844","137.46024072697733","0.8437594771385193","162.10350285947715","148.4062208327572","0.7939134836196899","100.48657386131536","146.5254522002904","0.9845555424690247","177.09735945159315","197.63999196280423","0.989591658115387","78.78587909773285","199.59205829991706","0.9657800197601318","236.19488485498368","274.5390063260509","0.9207807183265686","2.5176622976664627","226.4200396242395","0.7537998557090759","207.723428564134","262.518164710661","0.6487748622894287","32.08243176828023","206.95725702606472","0.8313764333724976","160.6333295036765","322.7004761822456","0.859114944934845","90.39991191789217","323.8477210660952","0.11496290564537048","231.713946972018","270.1804966209209","0.20612385869026184","12.429488437627656","321.5496664131637","0.06817261129617691","69.9783225464665","333.38395110273785","0.10013092309236526","71.60198535794527","331.80234115735624"
"16","0.7054891226922765","0.992236316204071","128.77232370812908","144.40810482058907","0.991129994392395","141.7060004340278","140.0917741893667","0.9849955439567566","118.36877361621733","137.14363030627766","0.8346697688102722","164.01319316789215","145.73140642284292","0.7455456256866455","105.72345409517975","145.545530066026","0.9870492219924927","183.01634944342322","209.21259787230366","0.9902471303939819","79.90558300142975","199.29690200670632","0.970183253288269","237.06919551674838","270.7460332549779","0.9353210926055908","13.078265221290339","237.88488877558078","0.7790336608886719","211.46535437091504","241.8807038163717","0.6709491610527039","-9.940775952308007","233.54068722345136","0.826503336429596","165.72702844158496","329.2393183075221","0.8527331352233887","80.29325597426471","322.16733139173124","0.11128029972314835","230.39365681168303","269.9565246041897","0.14087076485157013","-5.484333412320006","321.1621309803651","0.0798138901591301","56.23859081392974","325.0979911331582","0.10075289011001587","56.66786343443628","325.4907118535675"
"17","0.7070707415833193","0.9921349287033081","128.53958429074757","146.06524172082413","0.9912761449813843","143.42730353860296","141.34449106402104","0.9869056940078735","119.3808242698121","137.43181886926163","0.820771336555481","154.83422372855392","151.17743298015765","0.7217639684677124","107.49786975337011","151.53348399474558","0.9849868416786194","181.46832235498368","200.2798056813468","0.9843131303787231","77.34667809180965","198.21649872096242","0.9652513861656189","236.71673943014707","273.3705989871405","0.870964527130127","6.121095146229065","246.58239854120578","0.8167309165000916","208.8080193014706","243.13290216226497","0.820216715335846","47.29626225490196","249.57033950670632","0.8290769457817078","157.6528511795343","327.2061994434458","0.8193321824073792","86.26622817095588","319.69278251175336","0.10656046867370605","230.6058517156863","270.7892331823839","0.13913550972938538","51.74543792126226","333.476314038302","0.07554452121257782","85.66690282883988","320.05513689159295","0.09523738920688629","84.28974226409314","318.5042821833518"
"18","0.7180092413635815","0.9913553595542908","130.59326171875","145.06853221792036","0.9905657768249512","141.49043862336603","137.09624974073563","0.9889967441558838","120.26164534824348","134.97242075152104","0.8277296423912048","154.2343718086193","151.0253096048811","0.7917777895927429","107.91425717422386","150.59995398057248","0.9871034026145935","181.47668377246734","200.12107106436673","0.9875583052635193","76.37518190870098","194.86121253629702","0.9654634594917297","238.0771771599265","276.00271579438606","0.9162832498550415","2.0514544318704044","240.88657075324946","0.8183397054672241","211.10426559946896","240.86584580683078","0.9010987281799316","42.154525058721404","267.01821656353707","0.8083022236824036","162.22437640420753","331.0136913198286","0.8597159385681152","77.71826650582108","316.92348243915933","0.11906090378761292","209.15642233455884","268.4770486207135","0.12203625589609146","4.788228951248469","323.4060966019082","0.05520421266555786","56.75374747880924","256.0063508970548","0.075565405189991","84.415323095384","315.53820044593476"
"19","0.7301114615710342","0.9919998645782471","129.17585784313727","143.9627372269082","0.9906765222549438","142.9812921262255","141.5767919489768","0.9890312552452087","119.82387567657273","135.17112259316235","0.8417141437530518","162.07848243464053","147.4491625760509","0.811966061592102","107.17779820261438","151.3088314090155","0.9864488244056702","180.37980621936276","201.30495324599005","0.9901347756385803","73.62330218545752","196.0881650131361","0.9617741703987122","238.92806308721407","275.27661348866155","0.9670649766921997","-8.732189103668812","235.64424497891318","0.786122739315033","211.34288513582518","241.25927950428652","0.953295886516571","45.08998895782271","268.30178589947457","0.8382734060287476","162.78122446895426","328.21441380323563","0.8848091959953308","77.00274299172794","317.9705216399337","0.1263757348060608","230.667174096201","268.42095029037614","0.13742750883102417","-15.200329948874082","318.3355982957688","0.05857180431485176","58.02637037888072","254.42522707238663","0.09620797634124756","84.41400665083742","311.65600801991155"
"20","0.7184055890230572","0.9911519885063171","127.33749489379086","142.97795388550887","0.9903374910354614","142.05950967626634","141.37158419178652","0.9861837029457092","118.95472707312092","134.67606536055035","0.8267487287521362","153.84033203125","151.74507613730643","0.7647834420204163","107.69608640982435","150.82076621266594","0.9862100481987","179.07165926266342","200.91748262928652","0.9906591176986694","73.65925308925654","194.90873893805312","0.9641619324684143","238.21860319648695","274.1261602081029","0.958987295627594","-2.0615780898948124","237.4069672981195","0.7634873390197754","210.6625465941585","246.09537040237834","0.9497667551040649","52.202499489379086","258.15169882985344","0.848137378692627","163.01465801164215","331.0277564124724","0.8605913519859314","79.21405069189134","318.87989145464604","0.10207445919513702","231.2975834865196","270.6682701448424","0.10749521106481552","8.34996341879851","322.33572360688606","0.0565863773226738","56.69379739200368","253.0128357473728","0.0655323937535286","84.19656990400327","315.41002661780976"
"21","0.7152037379496238","0.9906887412071228","128.2949809155433","143.80711378249447","0.9904634356498718","142.40839141646242","141.3539704179342","0.9854775667190552","119.21697080524919","135.32782360515765","0.8285097479820251","153.0953999438317","151.5999853083518","0.7778337597846985","102.2405886182598","143.93888490389935","0.986752450466156","177.6062091503268","202.91396419558907","0.9921740293502808","78.13130297691994","196.14295081754702","0.9627842307090759","238.5214811836193","273.84796952779317","0.9433282613754272","-4.47537291283701","240.80689556830754","0.740375816822052","210.0501206341912","249.27500496923398","0.9544680714607239","58.36665932649102","250.72724198873067","0.8226516246795654","163.2364270578023","336.5795790410675","0.8441590666770935","78.67802638633579","320.8216844406803","0.11863294988870621","230.33967460682192","271.9979885405144","0.11331243067979813","-5.615986344081904","251.47479842194417","0.04812620207667351","219.521564159518","246.2045207065819","0.058725159615278244","86.77782245710785","289.77564988938053"
"22","0.709426449283081","0.9909006357192993","126.90199908088236","144.33215656111727","0.989937424659729","141.00239672691995","141.05745298672568","0.9845162630081177","118.37951261233661","136.5086108182384","0.8390077352523804","152.45528875612746","150.6884765625","0.7736495137214661","101.63291781556373","145.79238216433907","0.9878172278404236","170.92366536458334","210.38698449599008","0.9898641109466553","82.16849532781863","199.42439526583243","0.9604467153549194","238.90553193933826","274.3057007916206","0.9193294048309326","2.3723776823554945","245.2003897607854","0.7660366296768188","198.14858430351308","244.04285532183354","0.8262251615524292","65.29069489123775","235.34312560495025","0.8214355111122131","162.6870946946487","334.5851553857854","0.8881645798683167","79.60101358251634","319.9684129563053","0.10852652788162231","231.3757882710376","271.9323946522401","0.10658193379640579","4.271729911854065","326.41113281250006","0.051856450736522675","218.1381804023693","247.81058252385233","0.05595381185412407","85.12038685917075","323.06885845893254"
"23","0.7208208520622814","0.9901880025863647","129.1665230545343","148.947256982854","0.9906527996063232","140.92296326082518","140.76757920526828","0.9828197360038757","118.28206380208334","137.0894440507467","0.8391022086143494","152.10236991932192","151.48487192339604","0.8055869936943054","102.60830748314952","145.93735956512722","0.9869685173034668","177.5857843137255","200.37401587562226","0.9890502691268921","81.44879110498367","199.07798564539547","0.9672141075134277","237.97254774305557","273.8916231678651","0.9058845043182373","2.5061045129314747","239.51943726666207","0.7985233068466187","211.8204433466095","237.70453799087392","0.7460254430770874","28.6406014635672","235.43435425884957","0.8602320551872253","165.32299964256538","328.7982771881914","0.8962121605873108","80.08126851000817","318.15161780973455","0.14236515760421753","210.652525658701","270.14199586041207","0.2264709770679474","8.482263103809233","323.73309380185293","0.058831728994846344","51.094739328022875","330.47934743155423","0.0678265169262886","80.99558312908498","329.9139242256637"
"24","0.7219891719081822","0.9930850267410278","126.91190831801471","144.75717190092644","0.9888390898704529","140.90410220077615","139.45372454888","0.9836254119873047","118.93032098907273","137.7042895291759","0.8471550345420837","153.09646905637257","149.61188122234515","0.7981032133102417","106.03778913909315","145.5812923465155","0.9895032644271851","180.0912734885621","198.8530575912611","0.9910500049591064","82.90795419730392","196.2141999101217","0.968168318271637","237.36313763786765","273.2270961525166","0.9319261312484741","12.811817842371324","239.60005228498343","0.7704155445098877","209.7430300245098","238.88995955475667","0.7837069630622864","3.9934270522173714","231.11860697248343","0.8456045985221863","164.16060304330065","330.35658574737283","0.8925517797470093","80.65753612642975","322.6492714670907","0.14193832874298096","210.50830716401146","267.3239864923258","0.2109404057264328","13.045840793185764","328.50764181761616","0.06813141703605652","51.10581341911765","329.30099082204094","0.06907138973474503","51.216023763020836","331.0694655696903"
