"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.8083729980623021","0.9883361458778381","110.57692184946896","91.64220489231887","0.9847634434700012","120.932026782067","83.90956372286367","0.9795376658439636","102.34756369995915","84.3064893874447","0.8382868766784668","130.43015025020426","88.6128302380047","0.7191309332847595","93.67244944852942","90.88703256792728","0.9916789531707764","157.19192006229576","137.59862309008574","0.9958542585372925","80.50058402267157","137.3928968041344","0.9883679747581482","181.24299491932192","200.53020646086838","0.988384485244751","37.851981368719365","192.7236425349143","0.9639073014259338","158.63720064848857","168.28886589117812","0.9533404111862183","68.5141090941585","197.2456670440404","0.9852061867713928","143.2486660028595","275.3701107058905","0.9843055605888367","86.89548866421569","257.36231981125553","0.6232264637947083","140.21741281147877","345.4825558282633","0.61895352602005","87.4896280126634","345.4316751935841","0.06808057427406311","147.25751889297388","345.9868574564436","0.07098020613193512","102.00560725592321","344.0342401825222"
"1","0.8148426374091822","0.9877023100852966","111.1996400122549","92.02261865666483","0.9856380820274353","121.16361730238971","84.39917640348452","0.9807615876197815","102.35164866727942","84.4912314625968","0.8332639932632446","130.36112866370507","89.40816423534292","0.7583974599838257","93.67103726256128","91.60070638741013","0.9912135004997253","154.1361091962827","138.2867593680863","0.996286153793335","82.90144378063727","137.51455661469856","0.9893327951431274","194.47264029309642","199.27585297981196","0.9903332591056824","35.81882850796569","188.47263032356196","0.9622699022293091","162.60579427083334","175.03495748064162","0.9556643962860107","63.62834456699347","215.00827485481196","0.9871988892555237","143.43710107741015","278.5474280973452","0.9843209981918335","84.94437423406863","273.20859115735624","0.6252720952033997","144.9185559640523","345.28195001382744","0.6616894602775574","88.62101236979167","342.61885111310846","0.07628840208053589","143.6465513939951","346.039520533739","0.08669155091047287","103.00025690614788","344.7234945381637"
"2","0.8171863051898339","0.9887020587921143","111.6946391186683","91.28065261165654","0.9866272807121277","121.50192759395425","84.20351281630255","0.9814055562019348","102.99345926521652","84.6538064332135","0.8430789113044739","130.08833741830065","89.17215262894082","0.7778244614601135","93.64209941789217","91.63017340465986","0.9910611510276794","154.77886922998366","138.31471130911228","0.9957457184791565","83.20394678053513","137.26590586974558","0.988841712474823","194.685138378268","198.45785765521296","0.9916861057281494","30.155111076005927","189.1859314504978","0.9667916297912598","162.03507965686276","169.2752210228844","0.9650862812995911","61.922838796977125","221.17325774336285","0.9862601161003113","142.26085388582518","280.16569154452435","0.9831348657608032","86.39895769505719","275.68009368086285","0.6117531657218933","148.39047500510623","345.5687936428374","0.6789878010749817","85.81537383833742","344.3653856125553","0.07207895815372467","151.37589996936276","347.33227755116155","0.08310141414403915","102.88938036151961","344.7560322179204"
"3","0.8127309951712104","0.987784743309021","111.75834705627044","92.69970379044526","0.9856941103935242","121.25444399765115","84.99568702900305","0.9806264638900757","102.57123161764706","85.66270136200222","0.8416454792022705","130.32639048457926","88.91700407045079","0.7735960483551025","93.85336084303513","91.59778156111726","0.989981472492218","154.06329784517976","138.78994291862557","0.995909571647644","83.73960407730802","137.19097846377213","0.9876157641410828","195.11945338031046","197.18558252385233","0.9920067191123962","30.215260624106413","189.0052403812915","0.9661209583282471","161.65265650531046","168.05032645706584","0.9620235562324524","64.47712418300654","222.53611336767148","0.9875191450119019","141.61795023999184","277.73482871266594","0.9837533235549927","86.76019805708742","272.8710289339049","0.5872530341148376","146.93720001021242","344.8242511580476","0.6627415418624878","87.95165217779821","344.4014557694967","0.06263761967420578","143.24844260620915","346.68252860550336","0.06951736658811569","103.09579886642157","345.17788777309187"
"4","0.809331650243086","0.9861818552017212","111.23445797589869","92.4623958621405","0.9855743646621704","120.75646892871733","84.83301483424364","0.9801127910614014","102.17201382506128","85.15186951223728","0.8294787406921387","129.95035807291669","88.86626116997374","0.7670444250106812","92.86207809946896","91.63212598952573","0.9893452525138855","150.83018982332518","137.07244602979813","0.9959773421287537","81.64222069035948","136.99526626451882","0.985133945941925","193.44474443423204","196.56958655973452","0.9900544881820679","36.33775100209355","190.4218285484652","0.9601011276245117","164.81014476102942","168.11488328781806","0.9548059701919556","64.87075705933415","212.5942317996405","0.9882063269615173","144.1342581954657","268.7625149077019","0.9823986887931824","86.70921575010213","270.58619676438053","0.580623984336853","144.14517271752453","345.2416019946073","0.6439241766929626","89.08002068014706","342.8316747614768","0.06601577252149582","152.52190882863562","348.1512937292589","0.07365880161523819","102.45350956137663","345.0701958310288"
"5","0.811598646290162","0.9855742454528809","113.94695606107027","90.68179240268944","0.9865862727165222","121.91274605545344","84.5019180162818","0.9811398386955261","109.05209609885621","81.0510686013551","0.8350095748901367","130.63667247497958","88.27914077623757","0.7535507678985596","93.16296147365196","91.06633819310012","0.991199791431427","153.777525658701","138.71226082860898","0.9961265921592712","82.52387152777779","138.04711806035675","0.9863714575767517","180.48695682700165","195.87490385612557","0.9883221983909607","33.2943825316585","189.9789887824945","0.9522404670715332","161.75880182802288","175.99652045595963","0.9541862607002258","74.55938999948938","202.3549901911643","0.9898648858070374","142.82014335682192","270.0168035726632","0.9861572980880737","84.17951197406046","266.3975862486173","0.6580772399902344","144.65742123672388","345.8372943169248","0.6111066937446594","91.32809308619282","344.2806061601217","0.07081923633813858","152.81262765522877","346.68090820312506","0.07084416598081589","102.90166717728759","341.75362105918146"
"6","0.8135447116459117","0.9881325364112854","111.4798272824755","91.81030543504563","0.9856516122817993","121.49647831137663","83.88539542139105","0.9808690547943115","109.12849775326798","81.31721158998204","0.8452209234237671","130.84681691687092","87.45263833915239","0.7304782271385193","93.3276526756536","91.23659387099005","0.992453396320343","154.14357702716504","139.0611982767561","0.9966024160385132","81.86011220894608","138.2891575636062","0.9844142198562622","181.0290287990196","200.07234556485068","0.9849042892456055","39.071044921875","193.6442579421322","0.9604677557945251","162.9754518995098","175.974969104328","0.9664304852485657","73.61710292841096","191.9894544213219","0.9886896014213562","142.05684487336603","272.7249982715708","0.9870718717575073","83.64193187040442","269.63508538440266","0.6676490902900696","146.97924645118465","346.88520853498346","0.6390383243560791","88.40034434997958","346.91064885232305","0.06809945404529572","152.79772390727126","346.2782058040653","0.06408683955669403","102.53977258220998","341.61177103498346"
"7","0.8060186167850214","0.9878616333007812","112.55568959354576","92.24289615597345","0.9838626980781555","122.22945867800246","83.42558194050747","0.9789687395095825","103.27337526807598","83.97125244140626","0.8577827215194702","132.1332066355188","87.19349548879978","0.7347691655158997","93.12189638225082","91.15102852340294","0.9927183389663696","155.36201427185458","139.0964744365321","0.9963372945785522","81.15163366779004","138.50932163474835","0.9850361347198486","185.90215545853758","195.06186696280423","0.9821115136146545","34.4720498876634","196.47780696902657","0.9469254612922668","159.70995136335785","173.8286813381499","0.972949743270874","77.62313144658906","182.81105784188333","0.9858812093734741","140.90312882965688","273.64558127074116","0.9876977801322937","81.70209099264706","271.7224391160813","0.602523684501648","149.93173636642157","346.4448479846516","0.5810079574584961","86.52474596609477","347.10049519496687","0.06588775664567947","154.31137982536765","345.4291473658739","0.0599946528673172","101.18937174479167","340.2517025027655"
"8","0.8060309071751202","0.9860897064208984","113.97113874846815","90.23770492688745","0.9845482707023621","121.92165000765932","83.81327131153209","0.9821344017982483","108.78079682393792","81.13571842159845","0.8861739635467529","131.7983589920343","87.05253668590986","0.7327075600624084","92.87230647467321","90.84513706443585","0.992730438709259","156.47594975490196","137.39777421529317","0.9956493973731995","82.52051259957108","136.39080756533463","0.9832185506820679","186.45820567810458","194.555539831651","0.9849522709846497","41.049788730596404","189.41350076050887","0.9471595883369446","161.7327761182598","174.10194599522956","0.9756615161895752","80.65299638735704","175.7409830008988","0.9828611612319946","144.06601051879085","275.27959502903764","0.9860063791275024","82.69724328533498","273.1688912990874","0.5961945056915283","150.61014412275327","345.2527179549226","0.5650738477706909","79.72680185355392","346.8155636407633","0.06733468174934387","152.77509701797388","345.68018010232305","0.054029181599617004","96.85284383935867","341.3906185183905"
"9","0.8057147395961425","0.9848035573959351","114.23546485651553","90.36173052492396","0.9843563437461853","121.88399171517565","83.28281638896571","0.9818903207778931","109.09509995404413","81.18789537818031","0.8949944972991943","131.67989493974673","86.41041983545355","0.711902916431427","93.81173726000817","90.95907565766733","0.992893636226654","155.84487017463235","137.87388084209073","0.9946815371513367","83.5214492698121","136.99628711801716","0.9801324605941772","185.9979926215278","195.62126227184737","0.9792435765266418","37.02551349315768","188.6547473468612","0.9370599985122681","161.1465833078023","173.47113955337392","0.9758500456809998","81.27011367698121","164.8484275615321","0.9831025004386902","144.41600924223857","276.17418677405976","0.9872317314147949","80.90094273386438","274.2560840707965","0.6369503140449524","147.7527573529412","346.0770814608684","0.5593118071556091","79.47980494281046","348.2916529832688","0.06421691924333572","151.37095332924838","346.21718145049783","0.048528410494327545","96.39602960324756","341.908661158739"
