"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.8075232424718493","0.9893191456794739","113.64669500612746","98.39634177959071","0.9823035597801208","117.9870844822304","85.58171365113385","0.9755124449729919","104.29042841094771","86.19345605900858","0.8788381814956665","128.3672577103758","93.61044284516733","0.7535511255264282","93.14202601613563","95.78627864871406","0.9948877692222595","153.4683127808415","141.79826854604536","0.9964202642440796","78.34830888735704","141.93281055551716","0.9836581349372864","178.58782998876634","201.93938938917313","0.9807495474815369","47.04304215175654","201.9035622925885","0.958297848701477","150.71380016850492","181.4044351493363","0.9830189943313599","72.46976964613971","177.5254025079508","0.9877871870994568","138.26337826797388","276.0860044766317","0.989373505115509","81.3101495481005","272.03331331236177","0.6267953515052795","132.74797028186276","350.31002618570244","0.5620843172073364","80.94557419321896","351.248530835177","0.0392572395503521","62.564082924836605","325.0549208379425","0.046040505170822144","96.25374987234477","345.75954741081307"
"1","0.8090997158604509","0.9894689917564392","113.69730232587827","98.48286316458103","0.9821169376373291","117.95600043402779","85.65926610896018","0.9755164384841919","104.18328578176063","86.22585600456306","0.8800270557403564","128.54353362438727","93.44687942909984","0.7628064155578613","93.01318199805965","95.98665760681693","0.9949369430541992","153.23858123978758","141.47049355295908","0.9964795708656311","78.32936006433825","141.66008063122237","0.9832217693328857","178.56622434129903","201.97769570139658","0.9801403880119324","48.02806579988766","201.31443259990323","0.9583621025085449","150.55887459150327","181.2145888066925","0.9830916523933411","72.76189268024919","177.78972254390212","0.9880815744400024","138.01461014093138","275.99095167311947","0.9895670413970947","81.53806200214461","272.0172713288164","0.6282252073287964","132.42777107587827","350.1878478463772","0.5742557048797607","80.03827263327206","351.2463270879425","0.0398002453148365","134.44195516748366","348.9651894358407","0.04859713092446327","95.5133335886438","345.5305845547567"
"2","0.8091546851484215","0.9892450571060181","113.69091956444036","98.65441516437363","0.9826163053512573","118.09710733251634","85.57910480330476","0.975745439529419","104.26498512816586","86.1069913881015","0.880745530128479","128.5320925245098","93.50693154124033","0.7629519701004028","92.9117120481005","96.16792391886754","0.9949217438697815","153.41993144914215","141.5452589186947","0.996407687664032","78.16188438265932","141.7929212181969","0.9825946688652039","178.70599085988565","201.96578574391594","0.9799409508705139","47.4600359349469","202.11978878595136","0.9590021967887878","150.7248104319853","181.03365467712945","0.982876718044281","73.37518829146242","177.2714530472207","0.987916111946106","138.0523960886438","276.1302090535122","0.9899278879165649","81.34894875919119","271.57161206270746","0.6291995644569397","141.37615527982027","350.66768139864496","0.5730838179588318","80.82330441942402","351.27695269289273","0.040770869702100754","134.23274420445262","349.105451465708","0.04768312722444534","95.89351479524102","345.60518788025445"
"3","0.812420383314876","0.98945552110672","113.48025652318219","98.90948270274475","0.9842574000358582","118.11515459048204","85.06286080959624","0.9773966073989868","103.79069010416667","85.66013302423258","0.8907598257064819","128.26739940767973","92.89748200273092","0.7685708403587341","92.48056449142157","95.6172139665722","0.9946054816246033","153.43607983558007","141.51607547186117","0.9964296221733093","77.76010550704657","141.79752316095133","0.9815036058425903","178.89758540134804","202.4885437551853","0.9797408580780029","47.33866772620507","201.07407831512722","0.9571253061294556","151.80636935763889","180.9414699858269","0.9830944538116455","72.71495544832517","177.8242371145603","0.9883630871772766","138.74720754187092","274.5021907840155","0.9908255934715271","81.06335209865196","270.0861243864077","0.6455476880073547","140.71743834252453","350.3701107058905","0.5927161574363708","79.43326663347631","350.8852690300056","0.0407039113342762","63.12193627450981","326.7466857370022","0.050050556659698486","94.37527924581292","345.53820044593476"
"4","0.8133769552497303","0.9889609217643738","113.77516403696896","98.54895127558076","0.9843853712081909","118.14612694035948","85.08374779625278","0.9770772457122803","104.04341554330065","85.66623383918696","0.883804976940155","128.45632914624184","92.96849613696074","0.7635595202445984","93.0737464256536","95.74449657338911","0.9946264624595642","154.10603043300654","141.47668349004425","0.9966088533401489","78.23879665798611","142.3484113575083","0.9810819625854492","178.9068882761438","201.36563731505808","0.9791936278343201","48.35544960171569","201.60604021190545","0.9544237852096558","151.17227392258988","180.73747753042036","0.9831106662750244","73.12851051879085","178.06489927578818","0.9891622066497803","139.03132021037584","274.2747835142423","0.9901375770568848","81.73940621170344","271.1162951984237","0.6604101061820984","134.51171875","349.77759437223455","0.6078729033470154","79.89420572916667","350.7914801403485","0.04126814752817154","137.5537428513072","348.7090686359237","0.0517239049077034","94.44858526092729","345.531978100802"
"5","0.8122681050616152","0.9887951612472534","113.82815691380719","97.21130911227877","0.982502281665802","118.03880080678105","84.89684248392561","0.9767916202545166","103.3047784543505","84.989561908013","0.8869230151176453","128.25968424479169","93.29043768148507","0.7518071532249451","93.23840571384804","94.73358424363938","0.9945673942565918","153.93336077920753","142.3068966485758","0.9963696002960205","78.6590456495098","142.36352971169802","0.9814105033874512","179.7460618361928","202.7179279158601","0.9763154983520508","49.75492589613971","200.51847474764935","0.9536928534507751","151.2408726511438","181.45557504839604","0.9829794764518738","73.4250217013889","177.865589783255","0.9887073040008545","137.31906467013889","274.01257000138276","0.9905857443809509","81.15920521854575","271.04674752834626","0.6731009483337402","131.56334571589053","349.90168478636616","0.5938875079154968","80.7239008884804","350.89077839809187","0.041485484689474106","134.22251582924838","349.21003223520466","0.048636239022016525","95.00750772314134","345.9538012479259"
"6","0.8131068916443516","0.9896413683891296","114.53082714205475","97.9708808291275","0.9818562865257263","118.20869395935458","85.15565315179066","0.9759107828140259","104.13905324499592","85.29454594164824","0.88287353515625","128.6102175245098","93.18475503837114","0.7758866548538208","93.13818838082108","95.25939671339188","0.9948575496673584","153.37761374080884","142.0659590189436","0.9962728023529053","78.74347362642975","142.19359811428376","0.983983039855957","178.51125280841504","201.1469478100802","0.9780680537223816","48.702871285232845","199.6092831771986","0.9539995789527893","150.45730890012257","182.35928965880808","0.9828798174858093","72.74119657628677","179.6759195243363","0.9886360168457031","137.08398756638073","274.2689824737279","0.9898486733436584","81.29597183925654","272.4227608199668","0.6673898100852966","132.28910558363972","349.9609591053651","0.590690553188324","80.35364487591912","350.99156742602327","0.03890469670295715","62.35944361468546","325.4500397538717","0.05111793801188469","94.52050302542892","345.28350560011063"
"7","0.8105325738296789","0.98866206407547","114.73548240910948","97.73771302889935","0.9819552898406982","118.46260818780638","85.09964394358408","0.9753149747848511","104.57245072508171","85.47337354811948","0.884341299533844","128.6688751021242","93.23276756084071","0.7474538683891296","93.55033924377042","95.04878491426992","0.9948081970214844","154.00969860600492","142.16953513896573","0.996099591255188","78.75706890829248","142.45563338288164","0.9826647639274597","178.85689529718138","201.41535126002492","0.9773672223091125","49.51606301700368","200.6530653691925","0.9513195157051086","149.9069233813317","181.70921663267424","0.9834010004997253","72.38323535794527","178.93264095340157","0.9878515005111694","136.948321972018","275.0094739525719","0.9898601174354553","81.16474226409314","272.62780653691925","0.6602249145507812","131.76559946895426","350.1186890728706","0.5879260897636414","80.54695478451798","351.2205950981748","0.041442081332206726","134.30506089154412","349.32939107439165","0.048361264169216156","65.91725866779004","331.9400429514657"
"8","0.8117934143280282","0.9886123538017273","114.43526124642565","98.14772344268529","0.981525182723999","118.44524707669527","85.52970683680172","0.9749535918235779","104.50934117136438","85.59153328954646","0.885603129863739","128.67629506229576","93.39134013758297","0.760958731174469","93.58009886897467","95.54103885076744","0.9947929978370667","153.86666092218138","141.80752104362557","0.9960881471633911","78.77816393484477","142.54007255081584","0.9831768274307251","178.3450935712827","201.3162798586145","0.9773213267326355","49.012259689031865","200.68617018978154","0.9520497918128967","150.7086141748366","181.92246158566095","0.9841243624687195","71.72118342779821","178.2243954818861","0.9879060983657837","137.23741319444446","274.5674605918142","0.9891266226768494","80.99533579707925","272.4547151548673","0.6580126881599426","132.4170400582108","349.919411988385","0.5949785113334656","79.83296313316994","350.9947758227323","0.039299145340919495","136.89429189644608","348.5921079922567","0.051958534866571426","93.7588560814951","345.3423910225387"
"9","0.8089403639383176","0.987634003162384","114.69111423866423","97.41223090517838","0.981334388256073","118.56403026705475","85.25773850162473","0.976006269454956","104.54789305044935","85.28539066821074","0.8804808855056763","128.80363115298204","92.7333919558905","0.7471316456794739","93.46158694597631","94.52691812430864","0.9945084452629089","154.37581380208334","141.40318203816372","0.9961851239204407","79.0063316993464","141.96152408566095","0.9839968085289001","178.00283394607845","201.3503083085592","0.9785797595977783","48.839777528850085","201.07477508814992","0.9534667730331421","150.31050538705065","181.5799247269082","0.9839937686920166","72.0868278952206","177.8910301005946","0.9878214001655579","137.33652152267157","274.98746888827435","0.989611029624939","81.49670968647877","272.3705514553374","0.6461972594261169","132.82643037683823","350.07853550193585","0.5784390568733215","81.14004097732844","351.0713236310841","0.03893023729324341","137.57322623059642","348.66564185218476","0.04766933247447014","95.71671230341096","345.4647314021018"
