"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.6298745583523723","0.9989493489265442","140.44203814338235","115.89208552267701","0.9980554580688477","153.4628874336193","104.20835241807247","0.9969902634620667","122.38989736519609","105.50434213823978","0.8553462028503418","173.72916028390523","120.99602893390488","0.8781017661094666","99.58385193270017","117.81824162576052","0.9894787669181824","199.12616804534315","209.3952172203402","0.9878616333007812","55.16773498136234","211.04425210868365","0.8974061608314514","228.26495800142976","316.97588625207413","0.7219799757003784","-5.08803673039854","318.30079205268254","0.8188790082931519","196.58550985498368","303.9248414166206","0.8683570623397827","42.38120085273693","291.7295958932522","0.37246859073638916","171.46597669015523","339.76785035259957","0.15667037665843964","78.829345703125","339.8094622856748","0.04510553553700447","210.49783943525327","333.3877752523507","0.07071863859891891","103.82302676930148","337.9907874723452","0.02019648253917694","109.16582095077615","301.32795215707966","0.03130222111940384","111.34693818933825","321.13468136407636"
"1","0.6324574407190084","0.9989312291145325","140.91255935968138","120.9269997925885","0.9979304075241089","154.51491013071896","103.7243301256568","0.9971253275871277","122.59847005208334","105.45449045907081","0.8504436016082764","173.6816725388072","121.19198419351494","0.886012077331543","99.63495391646242","117.83253357473728","0.9898847341537476","198.86354932598042","209.70740394254705","0.9876250624656677","56.023104798560055","211.98860641074393","0.8925483822822571","228.7052089716095","317.40791793418146","0.7327804565429688","-4.52071495305479","320.4141532425332","0.8227794170379639","196.69216579861111","303.8148485031803","0.8668997883796692","43.66627412683824","291.08574521225114","0.37436386942863464","171.25449984681373","340.2043867533186","0.17018532752990723","97.28361640880311","338.47638965707966","0.04960007965564728","151.46479587928923","344.0981812603706","0.07937363535165787","103.75662211499184","337.4576102737832","0.020497890189290047","109.83842039419935","301.4999416655144","0.03479520604014397","111.44596673304738","321.65615925746687"
"2","0.6308533231563428","0.9989294409751892","141.10927606719773","120.95602930119608","0.9979423880577087","153.7082407832925","103.96962663768667","0.9969604015350342","122.90123634089053","105.40145468922844","0.8619070649147034","173.5983455882353","121.14889769427545","0.8771475553512573","103.31477545445262","120.46267349108132","0.9899242520332336","199.2111704707925","210.3073255150719","0.9874738454818726","55.987445108251634","211.6111498807384","0.8967531323432922","229.29912492340688","316.8913984720686","0.7366400361061096","-5.136032603145425","321.1869555448009","0.8247231841087341","197.5537588082108","303.20078081789273","0.8551685810089111","43.86023826848448","291.5174852219303","0.36147552728652954","171.66717728758172","339.82080510232305","0.15178649127483368","97.67199148539625","338.70240338080754","0.0433725006878376","151.68937334048204","344.44238713357305","0.07625174522399902","105.21308849060458","337.284907788302","0.03600054234266281","182.09129582822715","326.56251080268254","0.03204980492591858","112.1997229881536","321.85631135923677"
"3","0.6275912212098346","0.998903751373291","141.17811414930557","121.18555119607302","0.9977720975875854","154.7382269965278","103.63067086819","0.9970523118972778","122.78880399816177","105.5478823501452","0.8539586663246155","174.2098779616013","120.66198298361451","0.8864062428474426","102.67037983813317","120.62324726476079","0.9900021553039551","198.82991217320262","209.78933148679482","0.9883450269699097","56.37796239915237","212.62521389311397","0.8967807292938232","229.11735983455884","318.1276358545354","0.7009178400039673","-6.235551522448172","323.16899932591264","0.8345479369163513","197.5891193065768","302.8157083967091","0.8615294694900513","45.2682674632353","280.6547613903485","0.3421071767807007","172.2982568678513","340.11088953608964","0.15220347046852112","97.03570995455475","339.42866772676996","0.043813880532979965","180.12041079452615","337.8290064988938","0.07488103955984116","105.00464345894608","337.2836438744469","0.019113531336188316","109.71840054381128","301.7928131913717","0.03071543388068676","111.48325003829657","323.02060287610624"
"4","0.6309961018097752","0.9988646507263184","140.96049389808007","121.288390033013","0.997791051864624","154.86254723243465","103.4991103990943","0.996986448764801","122.72237540849675","105.32636524301715","0.8563541173934937","174.22645718443627","121.30552578816373","0.8833568692207336","102.77166628370098","119.85611637081722","0.9895600080490112","198.80048764297388","209.8965373081444","0.9876877665519714","56.21769524867239","212.04417000829648","0.9010065793991089","228.31594030841504","318.11182072732305","0.7141917943954468","-5.448258842518127","325.68979448976773","0.837155818939209","197.34375","302.70814608683634","0.8734497427940369","44.47163101894404","290.9912757535952","0.348967969417572","172.50759548611111","339.99292424294805","0.15441663563251495","97.93720320159315","338.2421118812224","0.04906110465526581","123.34366542841096","337.72769894220136","0.08625251799821854","103.87356228298611","337.13375665445244","0.01815137453377247","109.21170502706292","301.18130574184187","0.033679280430078506","111.59921683517157","322.1829844787058"
"5","0.6265689882942859","0.9989000558853149","140.58464499080884","121.06239251330892","0.9979122877120972","154.71545649509804","103.75577403380808","0.9969943761825562","123.50145526960785","101.0635240943031","0.8642985820770264","174.13436989379085","121.41805463132606","0.8781781196594238","102.97613804636438","120.26372858908326","0.9894652366638184","199.19631459354576","209.96138581132467","0.9880571365356445","55.99301805683211","211.77246093750003","0.8950462341308594","228.60073912377453","318.7499351839049","0.6852620244026184","-6.123635285820058","323.6279945035952","0.8318786025047302","198.0124240451389","303.7604353913164","0.8664913177490234","43.06166306040646","291.7699115044248","0.33194005489349365","172.43406607434642","340.1229777378319","0.14819906651973724","98.05507684844771","339.0271644254702","0.04579322412610054","123.52397046058007","337.8752203747235","0.0811515748500824","104.37363568474265","337.42231790998346","0.018785303458571434","108.66926604626227","301.36642050954094","0.03331960365176201","111.251260595384","321.8459407840155"
"6","0.6299661121824208","0.9989314675331116","140.53568921058007","120.43978530748757","0.9979032278060913","154.99141518586603","103.39680629493917","0.9970026612281799","122.75235045189952","104.92580987710869","0.8493982553482056","174.03829337724673","121.31410581875693","0.8821719288825989","103.21361666411357","119.76991906630255","0.9894218444824219","199.61263020833334","210.0893651911643","0.989096999168396","56.74231834660948","211.44069975456307","0.8849678039550781","229.22534020118465","318.5994970271018","0.7200431227684021","-5.217281167024102","319.9725611863938","0.8238514065742493","199.248046875","304.7593810495022","0.8622580170631409","47.19195995455474","282.00180188744474","0.36927860975265503","172.90975732741015","339.41784343888276","0.15811817348003387","98.33221635008171","339.36219882121134","0.04344455525279045","152.13576771854576","344.48237866426996","0.0747312381863594","105.62418619791667","337.70015210176996","0.03672393411397934","183.43379799836603","327.1697403899337","0.03208066150546074","112.19393063214869","321.5770512133573"
"7","0.6328875980175593","0.9989823698997498","141.07895795036765","119.52809831737419","0.9978134036064148","155.36016327103758","102.66472470443861","0.9971286654472351","123.27376621221406","103.84962773956029","0.8564814329147339","174.6878510518791","121.10185741323286","0.8863233327865601","102.85237630208334","119.0236751590155","0.9899506568908691","200.2094184027778","209.91061860481196","0.9892972111701965","56.82763991013072","211.4148381326051","0.8965559601783752","227.73539624183007","318.8430110965155","0.7390679717063904","1.1499801336550246","321.4294649647401","0.8334704041481018","198.5751921211193","302.76032304341817","0.8634792566299438","47.42046680325777","281.2524630116151","0.38234779238700867","172.67385046466504","339.07930897400445","0.14754481613636017","98.4085541768791","339.0624891973175","0.050364602357149124","151.54031990400327","343.2348956892976","0.0761747658252716","104.90441016901553","337.3020192374171","0.017399178817868233","222.0089582056781","273.4988700394082","0.03670734539628029","160.19449869791669","321.94455847276"
"8","0.6331070246284499","0.9989396929740906","140.75862311070262","120.36045850905698","0.997803270816803","155.91509650735296","102.9960645827572","0.9970696568489075","123.97306155535131","99.26035653173398","0.8629699349403381","174.8062193627451","120.86030403069691","0.8776610493659973","101.06430951286765","117.22458290842783","0.9891217350959778","201.04045394199346","210.28076712009127","0.9891194105148315","57.125722847732845","211.37594847552546","0.9012107253074646","227.72124246834153","318.81254753180315","0.7266513705253601","-5.6618928597643485","319.34961369607305","0.8357807397842407","198.82373685151146","302.90434440680315","0.8632916212081909","48.17026574627247","282.5635629839602","0.3781619071960449","172.71190767973857","339.2140616357854","0.15203700959682465","98.81618923611111","338.40920777447457","0.05441592261195183","151.73789828431373","343.3318281595686","0.08302530646324158","106.02423374948938","336.6761550228153","0.018426159396767616","222.0999923406863","273.8299830613938","0.03713390603661537","111.15565480749592","319.7907196314989"
"9","0.6279579371433047","0.9989345669746399","140.6720090379902","120.87380198250831","0.9978981614112854","155.551837597018","103.2453877946972","0.9970605373382568","123.91408483966504","99.76587346169802","0.861729085445404","174.74204069648692","121.38330510232302","0.8813767433166504","102.75586097069036","119.6352393226286","0.9889434576034546","201.09911151960785","210.84536392076882","0.9891883730888367","57.17980079401553","212.2699406716676","0.8972157835960388","229.1891659007353","319.0220331512721","0.7228895425796509","-6.480521906435101","321.822736621958","0.8357719779014587","198.7214052287582","302.06235092298124","0.8678656816482544","46.36857575061275","291.01383175470136","0.32171037793159485","172.99970639297388","340.80033834001665","0.1358809769153595","98.64681468290442","339.5291326742257","0.049568597227334976","152.00926138684642","343.00515504009957","0.07518043369054794","105.81958646088644","337.2760603913164","0.017740396782755852","109.56859713286357","300.2075411366151","0.03633023798465729","157.85234438827615","321.79006931001106"
